w_crude,category,seed,duration_hr,dR_option,dR_selective
140.0,D3,3141500000,13.201475541655679,0.0,0.0
140.0,D3,3141500001,38.87744611234435,0.0,0.0
140.0,D3,3141500002,48.79658197824049,-0.08083573517417075,0.0
140.0,D3,3141500003,65.79246210393396,0.0,0.0
140.0,D3,3141500004,24.191179902257534,0.0,0.0
140.0,D3,3141500005,35.146345050453164,-0.09983417970357444,0.0
140.0,D3,3141500006,28.053353028937114,0.0,0.0
140.0,D3,3141500007,67.52383359191947,0.0,0.0
140.0,D3,3141500008,42.49763622982728,-0.10497751288029211,0.0
140.0,D3,3141500009,17.840917936193975,0.0,0.0
140.0,D3,3141500010,59.45085052265516,0.0,0.0
140.0,D3,3141500011,9.963069780986617,-0.028563742092785116,0.0
140.0,D3,3141500012,50.3715186686783,0.0,0.0
140.0,D3,3141500013,55.75554479084133,0.0,0.0
140.0,D4,3141500000,6.311023456693455,-0.017208319143795614,0.0
140.0,D4,3141500001,34.995896828634706,-0.03727010820780374,0.0
140.0,D4,3141500002,46.077431428815544,-0.04431551530233646,0.0
140.0,D4,3141500003,65.06501625673872,-0.015619623536614002,0.0
140.0,D4,3141500004,18.58858379705334,-0.02811464849173395,0.0
140.0,D4,3141500005,30.827557361053138,-0.02772740758680514,0.0
140.0,D4,3141500006,22.903355337015682,-0.02646507795640285,0.0
140.0,D4,3141500007,66.99928284097254,0.008664516635541103,0.008664516635541103
140.0,D4,3141500008,39.040327975510166,-0.04277942068052154,0.0
140.0,D4,3141500009,11.494150506841708,-0.018728558642507442,0.0
140.0,D4,3141500010,57.980247068278814,-0.047923975169131494,0.0
140.0,D4,3141500011,2.6931170209459854,-0.013933235198169025,0.0
140.0,D4,3141500012,47.83693101266404,-0.04004698180439059,0.0
140.0,D4,3141500013,53.85189769601804,-0.04533856053651475,0.0
125.44,D3,3141500000,13.201475541655679,0.0,0.0
125.44,D3,3141500001,38.87744611234435,0.0,0.0
125.44,D3,3141500002,48.79658197824049,-0.12465759766093598,0.0
125.44,D3,3141500003,65.79246210393396,0.0,0.0
125.44,D3,3141500004,24.191179902257534,0.0,0.0
125.44,D3,3141500005,35.146345050453164,-0.13131914150603785,0.0
125.44,D3,3141500006,28.053353028937114,0.0,0.0
125.44,D3,3141500007,67.52383359191947,0.0,0.0
125.44,D3,3141500008,42.49763622982728,-0.14338138321786442,0.0
125.44,D3,3141500009,17.840917936193975,0.0,0.0
125.44,D3,3141500010,59.45085052265516,0.0,0.0
125.44,D3,3141500011,9.963069780986617,-0.037600395211373705,0.0
125.44,D3,3141500012,50.3715186686783,0.0,0.0
125.44,D3,3141500013,55.75554479084133,0.0,0.0
125.44,D4,3141500000,6.311023456693455,-0.0218487565375568,0.0
125.44,D4,3141500001,34.995896828634706,-0.047365853135349245,0.0
125.44,D4,3141500002,46.077431428815544,-0.05646448318430197,0.0
125.44,D4,3141500003,65.06501625673872,-0.02758961183250999,0.0
125.44,D4,3141500004,18.58858379705334,-0.03570721900168883,0.0
125.44,D4,3141500005,30.827557361053138,-0.035237052964744886,0.0
125.44,D4,3141500006,22.903355337015682,-0.033613673696370805,0.0
125.44,D4,3141500007,66.99928284097254,0.00024166726265778538,0.00024166726265778538
125.44,D4,3141500008,39.040327975510166,-0.054649129623640325,0.0
125.44,D4,3141500009,11.494150506841708,-0.023779201740029676,0.0
125.44,D4,3141500010,57.980247068278814,-0.06300966231635508,0.0
125.44,D4,3141500011,2.6931170209459854,-0.017690380582181975,0.0
125.44,D4,3141500012,47.83693101266404,-0.05117524990913935,0.0
125.44,D4,3141500013,53.85189769601804,-0.058309722714286916,0.0
113.12,D3,3141500000,13.201475541655679,0.0,0.0
113.12,D3,3141500001,38.87744611234435,0.0,0.0
113.12,D3,3141500002,48.79658197824049,-0.16173763514973727,0.0
113.12,D3,3141500003,65.79246210393396,0.0,0.0
113.12,D3,3141500004,24.191179902257534,0.0,0.0
113.12,D3,3141500005,35.146345050453164,-0.15796026303119937,0.0
113.12,D3,3141500006,28.053353028937114,0.0,0.0
113.12,D3,3141500007,67.52383359191947,0.0,0.0
113.12,D3,3141500008,42.49763622982728,-0.17587696581119494,0.0
113.12,D3,3141500009,17.840917936193975,0.0,0.0
113.12,D3,3141500010,59.45085052265516,0.0,0.0
113.12,D3,3141500011,9.963069780986617,-0.04524679400402576,0.0
113.12,D3,3141500012,50.3715186686783,0.0,0.0
113.12,D3,3141500013,55.75554479084133,0.0,0.0
113.12,D4,3141500000,6.311023456693455,-0.025775280486123875,0.0
113.12,D4,3141500001,34.995896828634706,-0.055908406535580046,0.0
113.12,D4,3141500002,46.077431428815544,-0.06674437908442654,0.0
113.12,D4,3141500003,65.06501625673872,-0.03771806346749887,0.0
113.12,D4,3141500004,18.58858379705334,-0.04213170174088132,0.0
113.12,D4,3141500005,30.827557361053138,-0.04159136828454013,0.0
113.12,D4,3141500006,22.903355337015682,-0.039662485476343545,0.0
113.12,D4,3141500007,66.99928284097254,-0.006885359129781887,0.0
113.12,D4,3141500008,39.040327975510166,-0.06469272949858695,0.0
113.12,D4,3141500009,11.494150506841708,-0.028052822822548507,0.0
113.12,D4,3141500010,57.980247068278814,-0.07577447451785169,0.0
113.12,D4,3141500011,2.6931170209459854,-0.020869503599423855,0.0
113.12,D4,3141500012,47.83693101266404,-0.06059147676700394,0.0
113.12,D4,3141500013,53.85189769601804,-0.06928532148009425,0.0
100.8,D3,3141500000,13.201475541655679,0.0,0.0
100.8,D3,3141500001,38.87744611234435,0.0,0.0
100.8,D3,3141500002,48.79658197824049,-0.19881767263853878,0.0
100.8,D3,3141500003,65.79246210393396,0.0,0.0
100.8,D3,3141500004,24.191179902257534,0.0,0.0
100.8,D3,3141500005,35.146345050453164,-0.18460138455636066,0.0
100.8,D3,3141500006,28.053353028937114,0.0,0.0
100.8,D3,3141500007,67.52383359191947,0.0,0.0
100.8,D3,3141500008,42.49763622982728,-0.20837254840452535,0.0
100.8,D3,3141500009,17.840917936193975,0.0,0.0
100.8,D3,3141500010,59.45085052265516,0.0,0.0
100.8,D3,3141500011,9.963069780986617,-0.0528931927966777,0.0
100.8,D3,3141500012,50.3715186686783,0.0,0.0
100.8,D3,3141500013,55.75554479084133,0.0,0.0
100.8,D4,3141500000,6.311023456693455,-0.02970180443469117,0.0
100.8,D4,3141500001,34.995896828634706,-0.06445095993581107,0.0
100.8,D4,3141500002,46.077431428815544,-0.07702427498455122,0.0
100.8,D4,3141500003,65.06501625673872,-0.04784651510248775,0.0
100.8,D4,3141500004,18.58858379705334,-0.048556184480073816,0.0
100.8,D4,3141500005,30.827557361053138,-0.047945683604335376,0.0
100.8,D4,3141500006,22.903355337015682,-0.0457112972563164,0.0
100.8,D4,3141500007,66.99928284097254,-0.014012385522221588,0.0
100.8,D4,3141500008,39.040327975510166,-0.07473632937353358,0.0
100.8,D4,3141500009,11.494150506841708,-0.03232644390506734,0.0
100.8,D4,3141500010,57.980247068278814,-0.08853928671934852,0.0
100.8,D4,3141500011,2.6931170209459854,-0.024048626616665625,0.0
100.8,D4,3141500012,47.83693101266404,-0.07000770362486841,0.0
100.8,D4,3141500013,53.85189769601804,-0.08026092024590148,0.0
