k,subset,seed,model,r2,mae,rho
3,7,1,GAT,-4.07400200870858,0.23176824202782056,-0.1863959020246583
3,7,2,GAT,-0.8466258816704348,0.12351701806404618,0.44881679306075134
3,7,0,flat,-0.18026238148498752,0.07898957598236041,0.10480810590135173
4,0,0,GAT,-1.328800652992086,0.12449327799937994,0.07873833246276893
4,0,1,GAT,-9.287690043154958,0.256274008693538,-0.10863631829539346
4,0,2,GAT,-2.211095715105194,0.15565154140949863,0.0439658838136033
4,0,0,flat,0.09589724209277573,0.05187920850838803,0.045569314574521895
4,1,0,GAT,-0.8959245807109519,0.14006559103441243,0.32086545768185215
4,1,1,GAT,-1.154553339294929,0.15511685495979244,0.09571113537572883
4,1,2,GAT,-1.5398387614361635,0.18842314594585108,0.0830485487465821
4,1,0,flat,-0.21089904783589586,0.09863595459678784,0.06160358094486232
4,2,0,GAT,-0.6103888008394853,0.11539514489276786,0.07622809212751758
4,2,1,GAT,-0.8356408744088708,0.12018296755647846,0.029097507069933585
4,2,2,GAT,-1.1727538214169684,0.13835321544604104,-0.1383741985576162
4,2,0,flat,-0.768168291771173,0.11531688217874571,0.020087541675213167
4,3,0,GAT,-1.42498346935656,0.10399354784190082,-0.16064632463069572
4,3,1,GAT,-4.505116121674518,0.1756962153957436,0.18300427435382305
4,3,2,GAT,-2.1962566332847744,0.13156798815640275,-0.06902827576983235
4,3,0,flat,0.13379472215450472,0.04484229945623689,0.08973764632527297
4,4,0,GAT,-1.4632190723607832,0.1097466148815019,0.08270737370236217
4,4,1,GAT,-2.782782387553825,0.15293263140527588,0.51294571795199
4,4,2,GAT,-1.203227874326401,0.11948021117330428,0.365256302917275
4,4,0,flat,0.0651384117608419,0.04714439244263983,0.006635888396094574
4,5,0,GAT,-1.8432663002652205,0.1661658463399209,-0.0718423137217285
4,5,1,GAT,-1.5240705189747241,0.17643178157627978,0.04407949576400032
4,5,2,GAT,-1.278235000111724,0.1479211184136034,0.04115242142705721
4,5,0,flat,-0.26592952792989344,0.09127751171023665,-0.08795985084155886
4,6,0,GAT,-2.174979051985411,0.14866296057101838,-0.12832293615576026
4,6,1,GAT,-3.5968877117190114,0.16554747883157622,0.25282694466919003
4,6,2,GAT,-3.211117158246279,0.1320850700698647,0.34927141941225415
4,6,0,flat,0.024407638619758254,0.04845626453095139,0.10352969273160864
4,7,0,GAT,-0.5974638569901007,0.08509988358106303,-0.2322954197983773
