tau_shelf,buffer_mult,category,seed,duration_hr,severity,R_buffer,R_reconfig,R_null,data_class
0.0,1.0,D1,3141500000,123.8847185280154,0.39750673119355406,0.7302212387235518,0.879071312335006,0.7302212387235518,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500001,380.0025249706349,0.8419959785618836,0.3872015352902721,0.7293646298734002,0.3872015352902721,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500002,1026.145905232949,0.7332672976063588,0.558608129284632,0.7957965734517143,0.558608129284632,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500003,739.6798094867412,0.9452162597520086,0.3213976907196104,0.7005238061471328,0.3213976907196104,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500004,598.307019525019,0.7443784459650544,0.4757983066013555,0.7619438918454302,0.4757983066013555,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500005,707.5847918782703,0.7028151792541779,0.4327477581376227,0.7539261331071833,0.4327477581376227,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500006,454.43219646364776,0.32450577949745835,0.8293652957329338,0.9188510009897484,0.8293652957329338,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500007,1304.1502400793968,0.5317976221456646,0.5658610145590868,0.8109910164338151,0.5658610145590868,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500008,644.113921392527,0.46227183774587316,0.6964339622603648,0.8609520091917557,0.6964339622603648,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500009,899.763156413535,0.9042087027239574,0.4982630848789269,0.7659496598615524,0.4982630848789269,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500010,1406.0222339634852,0.5401848786037575,0.7070425238405342,0.859161158244817,0.7070425238405342,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500011,273.98162106534147,0.4896512937759735,0.6910022410743858,0.8593969764819528,0.6910022410743858,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500012,403.45589872006605,0.42455264860926245,0.7863256208457018,0.8979047619369427,0.7863256208457018,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500013,1232.3615592886422,0.6419036013116965,0.5158124622762918,0.7873485934810787,0.5158124622762918,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500014,841.243907394657,0.779121705726282,0.5518175336916191,0.7912923979658978,0.5518175336916191,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500015,1097.918917029275,0.609975804064369,0.624108443950015,0.8280728735278944,0.624108443950015,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500016,1180.6428338621943,0.8282034833218654,0.3465076350785659,0.715399413797591,0.3465076350785659,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500017,315.6076314052882,0.4478080178139334,0.7779758278711382,0.8933138998140946,0.7779758278711382,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500018,758.6987008496483,0.6710840720466635,0.5586843866538685,0.7967114462522586,0.5586843866538685,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500019,862.6015218073472,0.49604938916829333,0.6095462515634976,0.8279973368002455,0.6095462515634976,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500020,551.6049701463794,0.865653943618379,0.41995990191943644,0.7400236231374583,0.41995990191943644,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500021,1380.4187543602452,0.8037037789843835,0.539527421227305,0.7862398302037023,0.539527421227305,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500022,498.80435951369657,0.34709055275758693,0.8215385822737401,0.9151442512515504,0.8215385822737401,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500023,940.6790672916757,0.9092700535100975,0.3326067364844226,0.7068449116405452,0.3326067364844226,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500024,184.23146437111683,0.3028555430029599,0.8212781562542308,0.9174065152988923,0.8212781562542308,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500025,1160.0073824046303,0.37674747701389055,0.7884280324420563,0.8984620708316255,0.7884280324420563,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500026,226.60667335916594,0.7647060041847665,0.42508569052339423,0.7469069615828762,0.42508569052339423,SYNTHETIC/physics-forward-model
0.0,1.0,D1,3141500027,1053.7785411181785,0.5838314355878191,0.5865816142680684,0.8162969410159225,0.5865816142680684,SYNTHETIC/physics-forward-model
