tau_dry,category,seed,R_null,R_oracle,dR
24.0,D3,3141500000,0.8523603359892948,0.953718675540479,0.10135833955118412
24.0,D3,3141500001,0.9916453406930772,0.9916453406930772,0.0
24.0,D3,3141500002,0.9719412639397765,0.9719412639397765,0.0
24.0,D3,3141500003,0.6857274861707007,0.9009478713323466,0.21522038516164588
24.0,D3,3141500004,0.37065985234401616,0.37065985234401616,0.0
24.0,D3,3141500005,0.9892992395619,0.9892992395619,0.0
24.0,D3,3141500006,0.7370235985527367,0.9174048011646269,0.18038120261189017
24.0,D3,3141500007,0.7945155571686067,0.7945155571686067,0.0
24.0,D3,3141500008,0.11914323450307353,0.7618821840185261,0.6427389495154526
24.0,D3,3141500009,0.48556029035317017,0.8360066354094335,0.3504463450562634
24.0,D3,3141500010,0.6606120556543996,0.6606120556543996,0.0
24.0,D3,3141500011,0.9878925569009422,0.9878925569009422,0.0
24.0,D3,3141500012,0.6667096969879736,0.8949875267022178,0.22827782971424426
24.0,D3,3141500013,0.5321605645969613,0.5321605645969613,0.0
24.0,D3,3141500014,0.9804435690887102,0.9804435690887102,0.0
24.0,D3,3141500015,0.2561019433616415,0.7931676890986158,0.5370657457369743
24.0,D3,3141500016,0.9897725816651237,0.9897725816651237,0.0
24.0,D3,3141500017,0.8570254026023836,0.8570254026023836,0.0
24.0,D3,3141500018,0.7808815667679571,0.9304021650203708,0.1495205982524137
24.0,D3,3141500019,0.9217557305073885,0.9217557305073885,0.0
24.0,D3,3141500020,0.9492347364259737,0.9492347364259737,0.0
24.0,D3,3141500021,0.37218914328499264,0.7969487511443167,0.4247596078593241
30.0,D3,3141500000,0.8524539973530536,0.9546731295629439,0.10221913220989032
30.0,D3,3141500001,0.9916101478947829,0.9916101478947829,0.0
30.0,D3,3141500002,0.9720601981263377,0.9720601981263377,0.0
30.0,D3,3141500003,0.6856941138725756,0.9026622212521522,0.2169681073795766
30.0,D3,3141500004,0.372973019832579,0.372973019832579,0.0
30.0,D3,3141500005,0.9856774368154207,0.9856774368154207,0.0
30.0,D3,3141500006,0.7371372694185454,0.9190346881073057,0.1818974186887603
30.0,D3,3141500007,0.7957814059420145,0.7957814059420145,0.0
30.0,D3,3141500008,0.12014081546432827,0.7620426206533435,0.6419018051890152
30.0,D3,3141500009,0.4855176809669679,0.8386374387634165,0.35311975779644855
30.0,D3,3141500010,0.6622981761764,0.6622981761764,0.0
30.0,D3,3141500011,0.9849577038614856,0.9849577038614856,0.0
30.0,D3,3141500012,0.6667309339063624,0.8968748555334474,0.23014392162708497
30.0,D3,3141500013,0.534409379295501,0.534409379295501,0.0
30.0,D3,3141500014,0.9804172800967321,0.9804172800967321,0.0
30.0,D3,3141500015,0.25660764833287586,0.7982272067112216,0.5416195583783457
30.0,D3,3141500016,0.9897737514500258,0.9897737514500258,0.0
30.0,D3,3141500017,0.8583074246649666,0.8583074246649666,0.0
30.0,D3,3141500018,0.7803816250964489,0.9310431749149123,0.15066154981846336
30.0,D3,3141500019,0.9217421275878325,0.9217421275878325,0.0
30.0,D3,3141500020,0.948208375116018,0.948208375116018,0.0
30.0,D3,3141500021,0.3726140323374127,0.8009762228609013,0.4283621905234886
36.0,D3,3141500000,0.8525127559381208,0.9548826110217727,0.10236985508365193
36.0,D3,3141500001,0.9915634617508852,0.9916372847595429,7.382300865776958e-05
36.0,D3,3141500002,0.9721359420258824,0.9721359420258824,0.0
36.0,D3,3141500003,0.6855777607684375,0.903389921157919,0.2178121603894816
36.0,D3,3141500004,0.37449024871474285,0.37449024871474285,0.0
36.0,D3,3141500005,0.9828381078975477,0.9863081434862231,0.003470035588675424
36.0,D3,3141500006,0.7371813225477831,0.9194751476722117,0.1822938251244286
36.0,D3,3141500007,0.7965010799355222,0.7965010799355222,0.0
36.0,D3,3141500008,0.12081878841511272,0.7621496793953733,0.6413308909802605
36.0,D3,3141500009,0.4853753288343284,0.8399028139370759,0.3545274851027475
36.0,D3,3141500010,0.6630915306427134,0.6630915306427134,0.0
36.0,D3,3141500011,0.9825661163406857,0.9858804851700813,0.0033143688293956197
36.0,D3,3141500012,0.6666643229560218,0.8975879442437527,0.2309236212877308
36.0,D3,3141500013,0.535692003762393,0.535692003762393,0.0
36.0,D3,3141500014,0.9803681762498093,0.9804407269391316,7.2550689322326e-05
36.0,D3,3141500015,0.2569487110428664,0.8016581046349942,0.5447093935921279
36.0,D3,3141500016,0.9897706429447481,0.9897706429447481,0.0
36.0,D3,3141500017,0.858980705786414,0.858980705786414,0.0
36.0,D3,3141500018,0.7798522697342672,0.9319640682505194,0.15211179851625212
36.0,D3,3141500019,0.9216490296044341,0.9217788558372086,0.00012982623277457694
36.0,D3,3141500020,0.9471793095612302,0.9490587992823158,0.0018794897210856476
36.0,D3,3141500021,0.37289937092174225,0.8018699310900634,0.4289705601683212
