option,D_star,ci_lo,ci_hi,r,slope_below,slope_above,p_exceed,n_below,n_above
copra_buy,-33.01570700795115,-219.33325186916366,-0.9566659470836778,0.24847176738556617,0.0018193133148794278,-5.647040138073358e-06,1.0,80,80
copra_sale,1510.0729141037787,-2364.436906684649,2731.7013670759075,0.010012613877564667,4.921357742559601e-05,0.0,0.0,80,80
crude_bypass,51.005899625664796,31.41306903480838,366.7713762687362,0.23389569236752056,0.0009524562513518949,0.0,0.65625,80,80
nut_sale,33.48621999577399,21.76891518326256,69.32294134523455,0.25548841069299644,0.0008671932553675598,0.0,0.78125,80,80
shell_boiler,-51437.63369224512,-181786.1453859244,-29039.028280933384,0.21867154569744926,2.5815867492662856e-07,1.1941686273262023e-07,1.0,80,80
solar_train,-19.51753188681057,-69.58996732557162,-2.441315720473283,0.37788483015854935,0.0025722418732877375,4.1254869565020535e-12,1.0,80,80
wet_route,-2.230275309328418,-23.43149714572327,7.562890408961451,0.4792202591304818,0.0037719311711837075,0.0,1.0,80,80
